Tag,MayRank,TotalRank,QuestionsInMay,QuestionsTotal
"javascript","1","1","21424","1414674"
"java","2","2","15724","1276546"
"python","3","7","15617","771783"
"android","4","5","12771","999184"
"php","5","4","12450","1090498"
"c#","6","3","11409","1107846"
"html","7","8","9183","665154"
"jquery","8","6","8010","849271"
"ios","9","10","6110","514092"
"css","10","11","6036","477130"
"mysql","11","12","5436","470239"
"c++","12","9","4820","520253"
"node.js","13","26","4559","178940"
"sql","14","13","4409","393099"
"r","15","24","4389","189311"
"angular","16","77","4333","57062"
"swift","17","31","4084","152756"
"angularjs","18","19","3476","235826"
"json","19","23","3455","202096"
"arrays","20","20","3209","229485"
"reactjs","21","102","2895","46397"
"sql-server","22","22","2597","204070"
"excel","23","36","2583","123234"
"python-3.x","24","73","2566","62917"
"c","25","18","2380","253775"
"asp.net","26","14","2281","317895"
"wordpress","27","37","2171","115830"
"spring","28","40","2090","112719"
"ajax","29","27","2061","171585"
"django","30","33","2050","146124"
"ruby-on-rails","31","16","1962","276181"
"linux","32","32","1960","148540"
"laravel","33","71","1880","64409"
"vba","34","50","1802","82909"
"xml","35","29","1712","159521"
"pandas","36","109","1692","44968"
"firebase","37","173","1689","28753"
"asp.net-mvc","38","30","1678","157354"
".net","39","17","1674","254066"
"typescript","40","161","1650","31494"
"python-2.7","41","62","1640","70611"
"regex","42","28","1576","169949"
"excel-vba","43","72","1521","63077"
"database","44","35","1519","130603"
"mongodb","45","49","1459","83951"
"windows","46","42","1393","110719"
"xcode","47","38","1314","115570"
"amazon-web-services","48","116","1296","42300"
"objective-c","49","15","1274","277444"
"ruby","50","25","1265","183159"
"bash","51","47","1250","85763"
"tensorflow","52","414","1211","12792"
"postgresql","53","60","1209","70702"
"twitter-bootstrap","54","52","1193","81884"
"apache-spark","55","180","1185","28307"
"visual-studio","56","63","1179","69522"
"swift3","57","368","1171","14710"
"string","58","39","1151","114644"
"azure","59","112","1151","43512"
"react-native","60","351","1149","15570"
"spring-boot","61","255","1130","21872"
"git","62","46","1125","86877"
"docker","63","212","1104","24987"
"oracle","64","48","1101","85489"
"scala","65","65","1089","67431"
"wpf","66","34","1070","131830"
"html5","67","44","1062","104160"
"selenium","68","118","1060","41440"
"api","69","84","1016","54319"
"multithreading","70","45","1006","98813"
"vb.net","71","41","983","111179"
"csv","72","103","962","45854"
"powershell","73","101","936","46554"
"apache","74","58","934","73229"
"android-studio","75","125","918","39172"
"rest","76","83","891","55416"
"matlab","77","59","876","72599"
"osx","78","55","873","78241"
"numpy","79","132","872","37004"
"maven","80","87","865","53423"
"image","81","53","856","81421"
"list","82","67","851","65612"
"forms","83","51","822","82572"
"shell","84","79","814","56333"
"xamarin","85","235","806","23403"
"eclipse","86","43","803","107315"
"algorithm","87","56","801","76628"
"css3","88","68","797","64915"
"ionic-framework","89","266","782","20767"
"hibernate","90","70","772","64508"
"google-maps","91","90","769","52196"
"express","92","151","767","33474"
"firebase-database","93","472","762","11435"
"machine-learning","94","322","756","16835"
"dataframe","95","253","745","21893"
"laravel-5","96","284","725","19401"
"codeigniter","97","85","714","53995"
"elasticsearch","98","198","713","26246"
"webpack","99","436","711","12289"
"opencv","100","128","710","38641"
"function","101","76","702","57902"
"unit-testing","102","92","692","50112"
"jenkins","103","238","690","23152"
"performance","104","61","675","70641"
"ionic2","105","614","672","8485"
"google-chrome","106","97","666","47576"
"qt","107","74","665","59381"
"unity3d","108","203","663","25819"
"entity-framework","109","64","662","68237"
"symfony","110","91","660","50407"
"loops","111","98","644","47481"
"email","112","111","643","44074"
"facebook","113","54","638","79248"
"cordova","114","88","630","52614"
"spring-mvc","115","115","621","42578"
"vue.js","116","760","615","6700"
