"Search Query", "URL"
"lil uzi vert", "https://soundcloud.com/search?q=lil%20uzi%20vert"
"kodak black", "https://soundcloud.com/search?q=kodak%20black"
"xxxtentacion", "https://soundcloud.com/search?q=xxxtentacion"
"mask off", "https://soundcloud.com/search?q=mask%20off"
"drake", "https://soundcloud.com/search?q=drake"
"future", "https://soundcloud.com/search?q=future"
"lil pump", "https://soundcloud.com/search?q=lil%20pump"
"migos", "https://soundcloud.com/search?q=migos"
"kendrick lamar", "https://soundcloud.com/search?q=kendrick%20lamar"
"playboi carti", "https://soundcloud.com/search?q=playboi%20carti"
"a boogie", "https://soundcloud.com/search?q=a%20boogie"
"xo tour life", "https://soundcloud.com/search?q=xo%20tour%20life"
"pnb rock", "https://soundcloud.com/search?q=pnb%20rock"
"lil yachty", "https://soundcloud.com/search?q=lil%20yachty"
"tunnel vision", "https://soundcloud.com/search?q=tunnel%20vision"
"21 savage", "https://soundcloud.com/search?q=21%20savage"
"humble kendrick lamar", "https://soundcloud.com/search?q=humble%20kendrick%20lamar"
"rolex", "https://soundcloud.com/search?q=rolex"
"chance the rapper", "https://soundcloud.com/search?q=chance%20the%20rapper"
"look at me", "https://soundcloud.com/search?q=look%20at%20me"
"bad bunny", "https://soundcloud.com/search?q=bad%20bunny"
"future mask off", "https://soundcloud.com/search?q=future%20mask%20off"
"ugly god", "https://soundcloud.com/search?q=ugly%20god"
"lil uzi", "https://soundcloud.com/search?q=lil%20uzi"
"humble", "https://soundcloud.com/search?q=humble"
"kevin gates", "https://soundcloud.com/search?q=kevin%20gates"
"travis scott", "https://soundcloud.com/search?q=travis%20scott"
"mask off future", "https://soundcloud.com/search?q=mask%20off%20future"
"young thug", "https://soundcloud.com/search?q=young%20thug"
"i spy", "https://soundcloud.com/search?q=i%20spy"
"logic", "https://soundcloud.com/search?q=logic"
"russ", "https://soundcloud.com/search?q=russ"
"swang", "https://soundcloud.com/search?q=swang"
"post malone", "https://soundcloud.com/search?q=post%20malone"
"chief keef", "https://soundcloud.com/search?q=chief%20keef"
"nav", "https://soundcloud.com/search?q=nav"
"kendrick lamar humble", "https://soundcloud.com/search?q=kendrick%20lamar%20humble"
"lud foe", "https://soundcloud.com/search?q=lud%20foe"
